ParcelNumber,CurrentAssessedValue,OBJECTID,st_number,st_name,st_unit,LEGALDESCR,LOTSQFT,neighborhood
010001600,139690400,1,600,MASSIE RD,,80 AC JAG SCHOOL,3516163.2,Rose Hill
010001200,2045300,2,1159,MILLMONT ST,,LOT C-1 WEST BAR,25264.8,Jefferson Park Avenue
010001500,2551000,3,1149,MILLMONT ST,,LOT C-2A WEST BAR,39944.52,The Meadows
010001000,166743800,4,1117,EMMET ST N,,39.77 ACRES BARRACKS ROAD SHOPPING CENTER,1937043.504,Barracks Rugby
010001300,1436600,5,1135-37,MILLMONT ST,,LOT C-2B WEST BAR,17816.04,Lewis Mountain
010001400,12348300,6,1111,MILLMONT ST,,LOT B-1 WEST BAR,143181.72,Venable
010004100,5548900,7,1170,EMMET ST N,,PARCEL 3 & PAR X,51879.96,Belmont
010001700,11299700,8,1101,MILLMONT ST,,PARCEL V WEST BAR,150761.16,Starr Hill
010004000,5242400,9,1138,EMMET ST N,,LOT M,109104.732,Woolen Mills
010004300,1032800,10,1134,EMMET ST N,,LOT 2B,8886.24,Barracks Rugby
010005000,434100,11,2030,BARRACKS RD,,LOT 11 BK 10 RUGBY,36198.36,Johnson Village
010018000,17164500,12,1001,EMMET ST N,,"PARCELS 1,2 &3",315417.96,Venable
010006000,1556500,13,2028,BARRACKS RD,,LOTS 9 & 10 BK 10 RUGBY,82676.88,North Downtown
010017100,1881900,14,1895,WESTVIEW RD,,LOT B BK 11 RUGBY,40336.56,Johnson Village
010007000,2615400,15,1930,BARRACKS RD,,"LOTS 7,8 & STRIP BK 10 RUGBY",90125.64,Venable
010016000,1037600,16,1891,WESTVIEW RD,,LOT 2 BK 11 RUGBY,43560.0,Barracks Rugby
010008000,498000,17,1924,BARRACKS RD,,LOT 6 & PT 5 BK 10 RUGBY,59633.64,Starr Hill
010017000,1455700,18,1893,WESTVIEW RD,,LOT A BK 11 RUGBY,19645.56,The Meadows
010015000,1460900,19,1889,WESTVIEW RD,,LOT 3 BK 11 RUGBY,41120.64,Belmont
010009000,1492600,20,1920,BARRACKS RD,,LOT 4 & PT LOT 5 BK 10 RUGBY,88252.56,Jefferson Park Avenue
010014000,1812200,21,1885,WESTVIEW RD,,LOT 4 BK 11 RUGBY,56235.96,Jefferson Park Avenue
010019000,932700,22,1890,WESTVIEW RD,,6537 SQ FT BK 9 RUGBY,6534.0,Rose Hill
010020000,1745800,23,1888,WESTVIEW RD,,"LOTS 10,11 &TRI LOT BK 9 RUGBY",22215.6,North Downtown
020001000,436100,24,1916,BARRACKS RD,,LOT 3 BK 10 RUGBY,50006.88,Barracks Road
010012000,959300,25,1857,WESTVIEW RD,,PT LOTS 5 & 6 BK 11 RUGBY,37505.16,Belmont
010021000,1520900,26,1884,WESTVIEW RD,,LOT 12 BK 9 RUGBY,14984.64,Fifeville
020002000,269200,27,1914,BARRACKS RD,,PT LOT 2,25003.44,Rose Hill
010011000,1316600,28,1855,WESTVIEW RD,,PT LOTS 6 & 7 BK 11 RUGBY,44387.64,Barracks Road
020003000,1896100,29,1910,BARRACKS RD,,LOT 1 & PT 2 BK 10 RUGBY,103324.32,Barracks Rugby
010033000,839900,30,1884,FIELD RD,,PT LOT 18 BK 8 RUGBY,12066.12,Rose Hill
010048000,4052800,31,918,EMMET ST N,,LOT A-2,32626.44,The Meadows
010022000,1591300,32,1882,WESTVIEW RD,,LOT 13 BK 9 RUGBY,15071.76,Barracks Road
010034000,1349000,33,1882,FIELD RD,,LOT 17 & PT 18 BK 8 RUGBY,14157.0,Fifeville
010030100,1091500,34,1871,FIELD RD,,PT LOTS 7 & 8 BK 9 RUGBY,14244.12,Jefferson Park Avenue
010010000,1459900,35,1851,WESTVIEW RD,,LOT 8 & PT 7 BK 11 RUGBY,40510.8,Barracks Rugby
010023000,1178100,36,1880,WESTVIEW RD,,LOT 14 BK 9 RUGBY,14984.64,Barracks Rugby
010048200,3992100,37,914,EMMET ST N,,LOT A-1,30230.64,Starr Hill
020004000,879500,38,120,BUCKINGHAM RD,,LOT 1 RUGBY SIDE,24175.8,Johnson Village
010035000,891200,39,1874,FIELD RD,,LOT 16 BK 8 RUGBY,17511.12,Rose Hill
010047000,1646600,40,905,FENDALL TER,,"LOT 15, PT 14 & STR BK 6 RUGBY",70000.92,Fifeville
010030000,1173100,41,1869,FIELD RD,,PT LOTS 6 & 7 BK 9 RUGBY,14244.12,The Meadows
020005000,1462800,42,128,BUCKINGHAM RD,,LOTS 2 & 3 RUGBY SIDE,39552.48,Venable
010049000,1193000,43,900,EMMET ST N,,LOT 3 BK 4 DUKE,18077.4,Lewis Mountain
020026000,2302000,44,1861,WESTVIEW RD,,"LOTS 9,10 & PT 11 BK 11 RUGBY",76186.44,Venable
010036000,1095300,45,1872,FIELD RD,,LOT 15 BK 8 RUGBY,17511.12,Fifeville
010029000,1560500,46,1867,FIELD RD,,LOT 5 & PT 6 BK 9 RUGBY,18556.56,Venable
010049100,657200,47,902,EMMET ST N,,LOT,9191.16,Jefferson Park Avenue
020006300,1259400,48,118,BUCKINGHAM RD,,LOT 8 RUGBY SIDE,27355.68,North Downtown
010048100,1336800,49,904,EMMET ST N,,LOT B,20255.4,Barracks Rugby
010037000,1238500,50,1870,FIELD RD,,LOT 14 BK 8 RUGBY,17511.12,Johnson Village
020007000,1259600,51,104,BUCKINGHAM RD,,LOT 4 RUGBY SIDE,22172.04,Woolen Mills
010026000,1295700,52,1852,WESTVIEW RD,,LOT 17 & PT 16 & 18 BK 9 RUGBY,24393.6,Woolen Mills
020008000,748000,53,1820,BARRACKS RD,,LOT 1,10890.0,Belmont
020025000,2653000,54,1839,WESTVIEW RD,,LOT 12A &REVISED LOT 12 BK 11 RUGBY,80150.4,The Meadows
020009000,730400,55,1812,BARRACKS RD,,LOT 2,14113.44,Rose Hill
010028000,1075300,56,1865,FIELD RD,,LOT 4 BK 9 RUGBY,14984.64,Barracks Road
010038000,1744900,57,1868,FIELD RD,,LOT 13 BK 8 RUGBY,17511.12,Fry's Spring
010041000,2274900,58,906,FENDALL TER,,"LOTS B,C & STRIP RUGBY",45825.12,Venable
020006200,849400,59,114,BUCKINGHAM RD,,LOT 7 RUGBY SIDE,17903.16,Fry's Spring
020024000,2438700,60,1833,WESTVIEW RD,,LOT 14 (4.039 ACRES),175938.84,Starr Hill
020014000,886300,61,1808,BARRACKS RD,,LOT 3 HOWARD,16814.16,Jefferson Park Avenue
010027000,1090600,62,1863,FIELD RD,,LOT 3 BK 9 RUGBY,14897.52,10th & Page
020006000,1162500,63,108,BUCKINGHAM RD,,LOT 5 RUGBY SIDE,19340.64,Jefferson Park Avenue
020027000,1281300,64,1848,WESTVIEW RD,,PT LOTS 18 & 19 BK 9 RUGBY,16944.84,Rose Hill
020006100,687800,65,110,BUCKINGHAM RD,,LOT 6 RUGBY SIDE,22999.68,Fifeville
010046000,1687200,66,901,FENDALL TER,,LOT 13 & PT 14 BK 6 RUGBY,29228.76,Locust Grove
020010000,664900,67,116,HOWARD DR,,LOT 8 HOWARD,9844.56,Barracks Rugby
010039000,960900,68,1866,FIELD RD,,LOT 12 BK 8 RUGBY,17511.12,Martha Jefferson
020015000,843200,69,1806,BARRACKS RD,,LOT 4,15725.16,Lewis Mountain
020032000,1501500,70,1861,FIELD RD,,LOT 2 & PT 1 BK 9 RUGBY,18730.8,Belmont
020028000,1240400,71,1844,WESTVIEW RD,,"PT LOTS 19,20 & STR BK 9 RUGBY",18730.8,Barracks Rugby
010040000,1094700,72,1864,FIELD RD,,LOT 11 BK 8 RUGBY,17511.12,Lewis Mountain
020011000,655500,73,114,HOWARD DR,,LOT 7 HOWARD,0.0,Johnson Village
020016000,889600,74,1800,BARRACKS RD,,LOT A,17075.52,Starr Hill
020021000,1023600,75,941,ROSSER LN,,LOT C BK 13 RUGBY,63336.24,The Meadows
020013000,581500,76,110,HOWARD DR,,LOT 5,7710.12,Starr Hill
010043000,1301500,77,1861,WINSTON RD,,LOT A RUGBY,16030.08,Johnson Village
010045000,1206300,78,1867,WINSTON RD,,LOT 1 & PT 2 BK 5 RUGBY,11979.0,The Meadows
020019100,1262700,79,947,ROSSER LN,,PARCEL B RUGBY,26397.36,Barracks Rugby
020016200,815800,80,1109,RUGBY RD,,LOT C,8319.96,Belmont
020012000,747100,81,112,HOWARD DR,,LOT 6,10062.36,10th & Page
020031000,2291000,82,1859,FIELD RD,,"LOT 1 & PT 23&24, PAR X BK 9 RUGBY",24175.8,Woolen Mills
020033000,1354800,83,1862,FIELD RD,,LOT 10 BK 8 RUGBY,25221.24,Barracks Rugby
010044000,1878200,84,1863,WINSTON RD,,"LOTS 3,4 & PT 2 BK 5 RUGBY",18730.8,Locust Grove
020029000,1480200,85,1834,WESTVIEW RD,,"LOT 21&PT 20,23&24 BK 9 RUGBY",25700.4,Fry's Spring
020020000,1498400,86,945,ROSSER LN,,LOT 5 & PT 4 BK 13 RUGBY,18687.24,10th & Page
020016100,788800,87,1107,RUGBY RD,,LOT B,9757.44,Fifeville
010042000,1005500,88,1859,WINSTON RD,,PT LOTS 5 & 6 BK 5 RUGBY,7492.32,Fifeville
020037000,1277900,89,1860,FIELD RD,,LOT 9 BK 8 RUGBY,21649.32,Johnson Village
020017000,1092100,90,1105,RUGBY RD,,PT LOT 5,26353.8,Fifeville
020034000,907500,91,1857,WINSTON RD,,LOT 7 & PT 6 BK 5 RUGBY,11238.48,North Downtown
020019000,2096600,92,1101,RUGBY RD,,PARCEL A RUGBY,51836.4,Lewis Mountain
020023100,2364200,93,1829,WESTVIEW RD,,LOT B BK 8 RUGBY,28270.44,Lewis Mountain
020038000,1175400,94,1858,FIELD RD,,LOT 8 BK 8 RUGBY,24219.36,Jefferson Park Avenue
020035000,1219600,95,1855,WINSTON RD,,LOT 8 & PT 9 BK 5 RUGBY,16204.32,North Downtown
020022000,1408100,96,939,ROSSER LN,,LOT D BK 13 RUGBY,33584.76,The Meadows
020042000,1123700,97,1856,FIELD RD,,LOT 7 BK 8 RUGBY,13634.28,Fifeville
020044000,1017500,98,919,OLD FARM RD,,LOT 5 BK 8 ROSSER,11674.08,Fifeville
030001000,767500,99,1106,RUGBY RD,,LOT RUGBY,18556.56,Locust Grove
020036000,958700,100,1851,WINSTON RD,,PT LOTS 9 & 10 BK 5 RUGBY,14984.64,Fry's Spring
